Entry	Entry name	Status	Protein names	Gene names
Q9SUU6	Q9SUU6_ARATH	unreviewed	Uncharacterized protein AT4g32460 (Uncharacterized protein F8B4.160)	At4g32460 F8B4.160 F8B4_160
Q84WS0	SBT11_ARATH	reviewed	Subtilisin-like protease SBT1.1 (EC 3.4.21.-) (Subtilase subfamily 1 member 1) (AtSBT1.1)	SBTI1.1 At1g01900 F22M8.3
Q8S9L6	CRK29_ARATH	reviewed	Cysteine-rich receptor-like protein kinase 29 (Cysteine-rich RLK29) (EC 2.7.11.-)	CRK29 At4g21410 F18E5.30 T6K22.140
A7Y5W4	A7Y5W4_ARATH	unreviewed	At4g21410	At4g21410
Q9LRJ9	CRR38_ARATH	reviewed	Cysteine-rich repeat secretory protein 38	CRRSP38 At3g22060 MZN24.26
Q9C5A1	Q9C5A1_ARATH	unreviewed	Uncharacterized protein At5g08760	At5g08760
Q5MAU8	PPA27_ARATH	reviewed	Probable inactive purple acid phosphatase 27	PAP27 At5g50400 MXI22.12
O23357	SBT42_ARATH	reviewed	Subtilisin-like protease SBT4.2 (EC 3.4.21.-) (Subtilase subfamily 4 member 2) (AtSBT4.2)	SBT4.2 At4g15040 dl3561c
Q9FYK7	Q9FYK7_ARATH	unreviewed	F21J9.23	
Q8LB06	Q8LB06_ARATH	unreviewed	Putative glucan endo-1-3-beta-glucosidase	
Q9SFW1	Q9SFW1_ARATH	unreviewed	Putative beta-1,3-glucanase	T1B9.1
Q9SRT4	Q9SRT4_ARATH	unreviewed	O-Glycosyl hydrolases family 17 protein (Putative beta-1,3-glucanase) (Putative glucan endo-1-3-beta-glucosidase) (Putative glycosyl hydrolase)	F21O3.3 At3g07320 At3g07320/T1B9_1 T1B9.1
Q940M7	Q940M7_ARATH	unreviewed	AT5g67280/K3G17_4	
Q9FGQ5	Q9FGQ5_ARATH	unreviewed	At5g67280/K3G17_4 (Leucine-rich repeat receptor-like protein kinase) (Receptor-like kinase) (Receptor-like protein kinase)	RLK LRR-RLK receptor-like kinase At5g67280 K3G17.4 K3G17_4
Q9LUN3	Q9LUN3_ARATH	unreviewed	Leucine-rich repeat (LRR) family protein (Leucine-rich repeat disease resistance protein-like)	At3g17640
Q9LJS2	RLP41_ARATH	reviewed	Receptor-like protein 41 (AtRLP41)	RLP41 At3g25010 K3G3.2
Q9LRK8	CRR29_ARATH	reviewed	Cysteine-rich repeat secretory protein 29	CRRSP29 At3g21990 MZN24.17
Q9SA89	BBE12_ARATH	reviewed	Berberine bridge enzyme-like 12 (AtBBE-like 12) (EC 1.1.1.-)	At1g30740 T5I8.19
Q42307	Q42307_ARATH	unreviewed	Protein kinase receptor-like (Fragment)	
Q8L7Q8	Q8L7Q8_ARATH	unreviewed	Uncharacterized protein At1g33590	At1g33590
Q8LGC3	Q8LGC3_ARATH	unreviewed	Putative disease resistance protein	
Q9FW47	Q9FW47_ARATH	unreviewed	Leucine-rich repeat (LRR) family protein	At1g33590 T1E4.3 T1E4_3
O80986	O80986_ARATH	unreviewed	At2g26110 (Bromodomain protein (DUF761))	At2g26110 T19L18.8 T19L18_8
Q67XS0	Q67XS0_ARATH	unreviewed	Uncharacterized protein At2g26110 (Fragment)	At2g26110
Q0WML7	Q0WML7_ARATH	unreviewed	Uncharacterized protein At1g63690	At1g63690
Q8W469	SIPL2_ARATH	reviewed	Signal peptide peptidase-like 2 (AtSPPL2) (EC 3.4.23.-)	SPPL2 At1g63690 F24D7.12
Q570C1	Q570C1_ARATH	unreviewed	Alpha-N-acetylglucosaminidase	At5g13690
Q9FNA3	NAGLU_ARATH	reviewed	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-glucosaminidase) (AtNAGLU) (Protein CYCLOPS 1)	NAGLU CYL1 At5g13690
Q8VXY9	UAH_ARATH	reviewed	Ureidoglycolate hydrolase (AtUAH) (EC 3.5.1.116) (Allantoate amidohydrolase 2) (AtAHH2) (Ureidoglycolate amidohydrolase)	UAH AAH2 At5g43600 K9D7.10
B9DI34	B9DI34_ARATH	unreviewed	AT5G23575 protein (Fragment)	At5g23575
Q56W51	Q56W51_ARATH	unreviewed	Uncharacterized protein At5g23575	At5g23575
Q8VZJ5	Q8VZJ5_ARATH	unreviewed	AT5g08500/MAH20_6 (Transmembrane CLPTM1 family protein)	At5g23575
Q9LT06	Q9LT06_ARATH	unreviewed	Gb|AAC97420.1	
Q9ZSU4	XTH14_ARATH	reviewed	Xyloglucan endotransglucosylase/hydrolase protein 14 (At-XTH14) (XTH-14) (EC 2.4.1.207)	XTH14 XTR9 At4g25820 F14M19.100
Q9SJY2	Q9SJY2_ARATH	unreviewed	Uncharacterized protein At2g22530	
O23708	PSA2A_ARATH	reviewed	Proteasome subunit alpha type-2-A (EC 3.4.25.1) (20S proteasome alpha subunit B-1) (Proteasome component 3)	PAB1 PRC3 At1g16470 F3O9.27
Q8L4A7	PSA2B_ARATH	reviewed	Proteasome subunit alpha type-2-B (EC 3.4.25.1) (20S proteasome alpha subunit B-2)	PAB2 At1g79210 YUP8H12R.19
Q8GZ62	Q8GZ62_ARATH	unreviewed	Amine oxidase (EC 1.4.3.-)	At1g31710/F27M3_9
Q9C6W0	Q9C6W0_ARATH	unreviewed	Amine oxidase (EC 1.4.3.-)	F27M3_10
Q9C6W1	Q9C6W1_ARATH	unreviewed	Amine oxidase (EC 1.4.3.-)	F27M3_9
Q9SV02	SCP39_ARATH	reviewed	Serine carboxypeptidase-like 39 (EC 3.4.16.-)	SCPL39 At3g52020 F4F15.130
Q9LXY6	SCP53_ARATH	reviewed	Putative serine carboxypeptidase-like 53	SCPL53 At3g56540 T5P19.190
Q9ZUJ5	5MMP_ARATH	reviewed	Metalloendoproteinase 5-MMP (At5-MMP) (EC 3.4.24.-)	5MMP At1g59970 T2K10.2
Q8GWM0	Q8GWM0_ARATH	unreviewed	Putative nucellin	At4g33490/F17M5_250
Q8LCW1	Q8LCW1_ARATH	unreviewed	Eukaryotic aspartyl protease family protein (Nucellin-like protein)	At4g33490 F17M5.250 F17M5_250
Q9SZC6	Q9SZC6_ARATH	unreviewed	Nucellin-like protein	F17M5.250 At4g33490
Q9FN08	BGA10_ARATH	reviewed	Beta-galactosidase 10 (Lactase 10) (EC 3.2.1.23)	BGAL10 At5g63810 MGI19.1
Q0WQB3	Q0WQB3_ARATH	unreviewed	Beta-galactosidase	At5g63810
Q9LX66	HERK_ARATH	reviewed	Receptor-like protein kinase HERK 1 (EC 2.7.11.-) (Protein HERCULES RECEPTOR KINASE 1)	HERK1 At3g46290 F12M12.260 F18L15.10
O64903	NDK2_ARATH	reviewed	Nucleoside diphosphate kinase II, chloroplastic (NDK II) (NDP kinase II) (NDPK II) (NDPK Ia) (EC 2.7.4.6)	NDPK2 At5g63310 MDC12.28
A5Y7B8	A5Y7B8_ARATH	unreviewed	Nucleoside diphosphate kinase (EC 2.7.4.6) (Fragment)	NDPK2
A5Y7B9	A5Y7B9_ARATH	unreviewed	Nucleoside diphosphate kinase (EC 2.7.4.6) (Fragment)	NDPK2
A5Y7D1	A5Y7D1_ARATH	unreviewed	Nucleoside diphosphate kinase (EC 2.7.4.6) (Fragment)	NDPK2
Q0WUG9	Q0WUG9_ARATH	unreviewed	Nucleoside diphosphate kinase (EC 2.7.4.6)	At5g63310
Q683A5	Q683A5_ARATH	unreviewed	Uncharacterized protein At2g45320	At2g45320
O22140	O22140_ARATH	unreviewed	Uncharacterized protein At2g45320	At2g45320
Q9M591	CRD1_ARATH	reviewed	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase, chloroplastic (Mg-protoporphyrin IX monomethyl ester oxidative cyclase) (EC 1.14.13.81) (Copper response defect 1 protein) (Dicarboxylate diiron protein) (AtZIP) (MPE-cyclase)	CRD1 ACSF AT103 CHL27 ZIP At3g56940 F24I3.20
Q8W4C5	Q8W4C5_ARATH	unreviewed	Eukaryotic aspartyl protease family protein (Nucellin-like protein)	At1g77480 T5M16.7 T5M16_7
Q9CAQ7	Q9CAQ7_ARATH	unreviewed	Nucellin-like protein; 27671-25467	T5M16.7
Q84W41	GLR36_ARATH	reviewed	Glutamate receptor 3.6 (Ligand-gated ion channel 3.6)	GLR3.6 At3g51480 F26O13.120
F4JXC5	SBT54_ARATH	reviewed	Subtilisin-like protease SBT5.4 (EC 3.4.21.-) (Subtilase subfamily 5 member 4) (AtSBT5.4)	SBT5.4 At5g59810 MMN10.6
O04373	ILL4_ARATH	reviewed	IAA-amino acid hydrolase ILR1-like 4 (EC 3.5.1.-) (jasmonoyl-L-amino acid hydrolase) (EC 3.5.1.127)	ILL4 IAR3 JR3 At1g51760 F19C24.4
Q4PSL3	Q4PSL3_ARATH	unreviewed	Alpha/beta-Hydrolases superfamily protein (Hydrolase)	At3g54240
Q9M382	Q9M382_ARATH	unreviewed	Uncharacterized protein F24B22.200 (Fragment)	F24B22.200
C0Z3B6	C0Z3B6_ARATH	unreviewed	AT1G52630 protein	At1g52630
Q8RY81	OFT13_ARATH	reviewed	O-fucosyltransferase 13 (O-FucT-13) (EC 2.4.1.-) (O-fucosyltransferase family protein)	OFUT13 At1g52630 F6D8.15
Q9SYA2	Q9SYA2_ARATH	unreviewed	Uncharacterized protein T13M11.2	T13M11.2
Q8GYD0	Q8GYD0_ARATH	unreviewed	Lung seven transmembrane receptor family protein	At1g61670 At1g61670/T13M11_2 T13M11.2 T13M11_2
Q9LY18	PME49_ARATH	reviewed	Probable pectinesterase 49 (PE 49) (EC 3.1.1.11) (Pectin methylesterase 49) (AtPME49)	PME49 ARATH49 At5g07420 T2I1.130
Q8VYC2	Y2070_ARATH	reviewed	Putative BPI/LBP family protein At3g20270	At3g20270 MQC12.2
A0MEG2	A0MEG2_ARATH	unreviewed	AAI domain-containing protein (Fragment)	
Q1PFD8	Q1PFD8_ARATH	unreviewed	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (Protease inhibitor/seed storage/lipid transfer protein family protein)	At1g73560 T9L24.28
Q8LA57	Q8LA57_ARATH	unreviewed	Lipid transfer protein, putative	
Q9FX48	Q9FX48_ARATH	unreviewed	Lipid transfer protein, putative; 26937-27275	T9L24.28 F6D5.5
C0Z390	C0Z390_ARATH	unreviewed	AT1G63420 protein	At1g63420
Q9SH28	Q9SH28_ARATH	unreviewed	F2K11.20	
Q94JU0	Q94JU0_ARATH	unreviewed	At1g63420/F2K11_19	
Q949U4	OFT16_ARATH	reviewed	O-fucosyltransferase 16 (O-FucT-16) (EC 2.4.1.-) (O-fucosyltransferase family protein)	OFUT16 At1g76270 F15M4.23 T23E18.20
Q8RWG2	CF107_ARATH	reviewed	Protein high chlorophyll fluorescent 107	HCF107 MBB1 At3g17040 K14A17.11
Q8RWW0	ALE2_ARATH	reviewed	Receptor-like serine/threonine-protein kinase ALE2 (EC 2.7.11.1) (Protein ABNORMAL LEAF SHAPE 2)	ALE2 At2g20300 F11A3.15
Q0WLX9	Q0WLX9_ARATH	unreviewed	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	At2g30505
Q66GM6	Q66GM6_ARATH	unreviewed	At2g30505	
Q9LIB6	COBL8_ARATH	reviewed	COBRA-like protein 8	COBL8 SEB2 At3g16860 MUH15.2
Q56XH7	Q56XH7_ARATH	unreviewed	Putative strictosidine synthase-like (Fragment)	At5g22020
Q9C586	Q9C586_ARATH	unreviewed	At5g22020 (Calcium-dependent phosphotriesterase superfamily protein) (Putative strictosidine synthase-like)	At5g22020
Q9ZQA3	PME15_ARATH	reviewed	Probable pectinesterase 15 (PE 15) (EC 3.1.1.11) (Pectin methylesterase 15) (AtPME15)	PME15 ARATH15 At2g36710 F13K3.11
O04529	2MMP_ARATH	reviewed	Metalloendoproteinase 2-MMP (At2-MMP) (EC 3.4.24.-)	2MMP MMP At1g70170 F20P5.11
Q43348	INVA3_ARATH	reviewed	Acid beta-fructofuranosidase 3, vacuolar (At beta fruct3) (AtBETAFRUCT3) (EC 3.2.1.26) (Acid invertase 3) (AI 3) (Acid sucrose hydrolase 3) (Vacuolar invertase 3) (Inv-V3) (VAC-INV 3) (VI 3)	BFRUCT3 BETAFRUCT3 At1g62660 F23N19.3 T3P18.21
Q9SHG8	Q9SHG8_ARATH	unreviewed	At1g17100 (SOUL heme-binding family protein) (SOUL-like protein) (Similar to SOUL Protein)	AtHBP1 haem-binding protein 1 HBP1 At1g17100 F20D23.21 F20D23_21
Q8VZR2	ASD2_ARATH	reviewed	Alpha-L-arabinofuranosidase 2 (AtASD2) (EC 3.2.1.55) (Beta-D-xylosidase) (EC 3.2.1.-)	ASD2 ARAF2 At5g26120 T1N24.13
Q9SN28	ATL7_ARATH	reviewed	RING-H2 finger protein ATL7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL7)	ATL7 At4g10150 F28M11.70 T9A4.19
Q53YX3	Q53YX3_ARATH	unreviewed	Glutamate receptor	At1g05200
Q8GXJ4	GLR34_ARATH	reviewed	Glutamate receptor 3.4 (AtGLR4) (Ligand-gated ion channel 3.4)	GLR3.4 GLR4 GLUR3 At1g05200 YUP8H12.19
C0Z3F7	C0Z3F7_ARATH	unreviewed	AT1G05200 protein	At1g05200
Q8L5Z1	GDL17_ARATH	reviewed	GDSL esterase/lipase At1g33811 (EC 3.1.1.-) (Extracellular lipase At1g33811)	At1g33811 F14M2.7
F4IG73	BCHC2_ARATH	reviewed	BEACH domain-containing protein C2 (BEACH-domain homolog C2)	BCHC2 At2g45540
Q8GWJ7	CRK19_ARATH	reviewed	Cysteine-rich receptor-like protein kinase 19 (Cysteine-rich RLK19) (EC 2.7.11.-)	CRK19 At4g23270 F21P8.160
Q8VYZ2	PPA8_ARATH	reviewed	Purple acid phosphatase 8 (EC 3.1.3.2)	PAP8 At2g01890 T23K3.8
Q9FT88	MGAT2_ARATH	reviewed	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)	GNT2 At2g05320 F5G3.22
Q9C8I5	Q9C8I5_ARATH	unreviewed	Receptor protein kinase, putative	F19C24.24
Q56Z19	Q56Z19_ARATH	unreviewed	Fructose bisphosphate aldolase-like protein (Fragment)	At3g52930
Q9LF98	ALFC8_ARATH	reviewed	Fructose-bisphosphate aldolase 8, cytosolic (AtFBA8) (EC 4.1.2.13) (Cytosolic aldolase 1) (cAld1)	FBA8 At3g52930 F8J2_100
Q9SJQ9	ALFC6_ARATH	reviewed	Fructose-bisphosphate aldolase 6, cytosolic (AtFBA6) (EC 4.1.2.13) (Cytosolic aldolase 2) (cAld2)	FBA6 At2g36460
B3H6D7	B3H6D7_ARATH	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	FBA6 At2g36460 F1O11.9 F1O11_9
Q9FJU9	E1313_ARATH	reviewed	Glucan endo-1,3-beta-glucosidase 13 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 13) ((1->3)-beta-glucanase 13) (Beta-1,3-endoglucanase 13) (Beta-1,3-glucanase 13)	At5g56590 MIK19.3
Q8H1N7	Q8H1N7_ARATH	unreviewed	At3g42950/F18P9_110	
Q9M1L0	Q9M1L0_ARATH	unreviewed	AT3g42950/F18P9_110 (Pectin lyase-like superfamily protein) (Polygalacturonase-like protein)	F18P9_110 At3g42950
Q9C6M0	Q9C6M0_ARATH	unreviewed	Eukaryotic aspartyl protease family protein	At1g25510 F2J7.6 F2J7_6
Q84WU7	Q84WU7_ARATH	unreviewed	Eukaryotic aspartyl protease family protein	At3g51330
Q94AV8	Q94AV8_ARATH	unreviewed	AT3g51330/F24M12_370	
Q9SD16	Q9SD16_ARATH	unreviewed	Uncharacterized protein F24M12.370	F24M12.370
Q9SKT6	GAUTA_ARATH	reviewed	Probable galacturonosyltransferase 10 (EC 2.4.1.-) (Like glycosyl transferase 4)	GAUT10 LGT4 At2g20810 F5H14.44
C0LGN2	Y3148_ARATH	reviewed	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1)	LRR-RLK At3g14840 T21E2.2
C0LGT0	C0LGT0_ARATH	unreviewed	Leucine-rich repeat receptor-like protein kinase (Fragment)	LRR-RLK At5g10020
Q0WR59	Y5020_ARATH	reviewed	Probable inactive receptor kinase At5g10020	At5g10020 T31P16.10 T31P16_9
Q9LIN9	PAGR_ARATH	reviewed	Protein PECTIC ARABINOGALACTAN SYNTHESIS-RELATED (EC 2.4.1.-) (O-fucosyltransferase 26) (O-FucT-26) (O-fucosyltransferase family protein)	PAGR OFUT26 At3g26370 F20C19.9
Q8W4J3	QSOX1_ARATH	reviewed	Sulfhydryl oxidase 1 (EC 1.8.3.2) (Quiescin-sulfhydryl oxidase 1) (AtQSOX1)	QSOX1 QSO2 At1g15020 T15D22.7
Q9ZU91	E133_ARATH	reviewed	Glucan endo-1,3-beta-glucosidase 3 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 3) ((1->3)-beta-glucanase 3) (Beta-1,3-endoglucanase 3) (Beta-1,3-glucanase 3)	At2g01630 T8O11.20
A8MRK0	A8MRK0_ARATH	unreviewed	O-Glycosyl hydrolases family 17 protein	At2g01630 T8O11.20 T8O11_20
C0Z2I0	C0Z2I0_ARATH	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-) (Fragment)	At1g13440
Q56WJ4	Q56WJ4_ARATH	unreviewed	Putative glyceraldehyde-3-phosphate dehydrogenase	At1g13440
Q9FX54	G3PC2_ARATH	reviewed	Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic (EC 1.2.1.12) (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 2)	GAPC2 GAPDH At1g13440 T6J4.17
Q41949	Q41949_ARATH	unreviewed	Glyceraldehyde 3-phosphate dehydrogenase (Fragment)	
Q56WW5	Q56WW5_ARATH	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase C subunit (Fragment)	At3g04120
P25858	G3PC1_ARATH	reviewed	Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic (EC 1.2.1.12) (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 1)	GAPC1 GAPC GAPDH At3g04120 T6K12.26
Q304B9	NCER2_ARATH	reviewed	Neutral ceramidase 2 (AtNCER2) (N-CDase 2) (NCDase 2) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (N-acylsphingosine amidohydrolase 2)	NCER2 At2g38010 T8P21.8
Q0WPY7	Q0WPY7_ARATH	unreviewed	Uncharacterized protein At3g49840 (Fragment)	At3g49840
Q9M2X4	Q9M2X4_ARATH	unreviewed	Uncharacterized protein T16K5.190	T16K5.190
Q0WVK0	Q0WVK0_ARATH	unreviewed	Transmembrane protein (DUF2215)	At3g49840
Q0WLW2	Q0WLW2_ARATH	unreviewed	Uncharacterized protein At1g76160 (Fragment)	At1g76160
Q8L790	Q8L790_ARATH	unreviewed	Pectinesterase, putative	At1g76160
Q93ZJ4	Q93ZJ4_ARATH	unreviewed	At1g76160/T23E18_10	
Q9SGR6	Q9SGR6_ARATH	unreviewed	AT1G76160 protein (SKU5 similar 5) (T23E18.10)	sks5 SKU5 similar 5 At1g76160 T23E18.10 T23E18_10
Q8LEZ9	Q8LEZ9_ARATH	unreviewed	Exostosin domain-containing protein	
Q8S9K6	Q8S9K6_ARATH	unreviewed	At1g21480/F24J8_23	
Q9LPL0	Q9LPL0_ARATH	unreviewed	F24J8.10 protein	F24J8.10
Q6NLF7	Q6NLF7_ARATH	unreviewed	At1g62790 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein)	At1g62790 F23N19.16 F23N19_16
Q3ECK0	Q3ECK0_ARATH	unreviewed	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	At1g62790 F23N19.16 F23N19_16
Q9SI70	Q9SI70_ARATH	unreviewed	F23N19.16	
Q9CAU2	SCP5_ARATH	reviewed	Serine carboxypeptidase-like 5 (EC 3.4.16.-)	SCPL5 At1g73290 T18K17.4
Q8W3M4	Y4744_ARATH	reviewed	Uncharacterized protein At4g06744	At4g06744 F15N16
Q9LM16	Q9LM16_ARATH	unreviewed	Endoplasmic reticulum vesicle transporter protein (F16L1.7 protein)	At1g22200 F16L1.7 F16L1_7
Q24JN5	P4H5_ARATH	reviewed	Prolyl 4-hydroxylase 5 (AtP4H5) (EC 1.14.11.2)	P4H5 At2g17720 T17A5.10
O80731	PAE3_ARATH	reviewed	Pectin acetylesterase 3 (EC 3.1.1.-)	PAE3 At2g46930
Q9SQX6	SCP7_ARATH	reviewed	Serine carboxypeptidase-like 7 (EC 3.4.16.-)	SCPL7 At3g10450 F13M14.27 F18K10.3
Q56Y96	Q56Y96_ARATH	unreviewed	Putative glucose acyltransferase (Fragment)	At3g10450
Q93Z08	E136_ARATH	reviewed	Glucan endo-1,3-beta-glucosidase 6 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 6) ((1->3)-beta-glucanase 6) (Beta-1,3-endoglucanase 6) (Beta-1,3-glucanase 6)	At5g58090 K21L19.12 K21L19_70
Q9M2Z1	BAME2_ARATH	reviewed	Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM2 (EC 2.7.11.1) (Protein BARELY ANY MERISTEM 2)	BAM2 At3g49670 T16K5.20
O49545	BAME1_ARATH	reviewed	Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1 (EC 2.7.11.1) (Protein BARELY ANY MERISTEM 1)	BAM1 At5g65700 F6H11.170 MPA24.5
O65449	O65449_ARATH	unreviewed	At4g22010 (Pectinesterase-like protein) (SKU5 similar 4)	sks4 SKU5 similar 4 At4g22010 F1N20.110 F1N20_110
Q42040	Q42040_ARATH	unreviewed	Glycolate oxidase (Fragment)	
Q9LRS0	GLO2_ARATH	reviewed	(S)-2-hydroxy-acid oxidase GLO2 (EC 1.1.3.15) (Glycolate oxidase 1) (AtGLO2) (GOX 1) (Short chain alpha-hydroxy acid oxidase GLO2)	GLO2 GOX1 At3g14415 MLN21.20
O24500	O24500_ARATH	unreviewed	Glycolate oxidase (Fragment)	
Q2V3V9	Q2V3V9_ARATH	unreviewed	Aldolase-type TIM barrel family protein	GOX1 glycolate oxidase 1 At3g14420
Q9LRR9	GLO1_ARATH	reviewed	(S)-2-hydroxy-acid oxidase GLO1 (EC 1.1.3.15) (Glycolate oxidase 1) (AtGLO1) (GOX 1) (Short chain alpha-hydroxy acid oxidase GLO1)	GLO1 At3g14420 MAO2.2
Q41903	Q41903_ARATH	unreviewed	(S)-2-hydroxy-acid oxidase (Fragment)	
Q56ZN0	Q56ZN0_ARATH	unreviewed	Glycolate oxidase like protein (Fragment)	At3g14420
B3H4B8	B3H4B8_ARATH	unreviewed	Aldolase-type TIM barrel family protein	GOX1 glycolate oxidase 1 At3g14420
A8MS37	A8MS37_ARATH	unreviewed	Aldolase-type TIM barrel family protein	GOX1 glycolate oxidase 1 At3g14420
Q43866	INV1_ARATH	reviewed	Beta-fructofuranosidase, insoluble isoenzyme CWINV1 (EC 3.2.1.26) (Cell wall beta-fructosidase 1) (AtbetaFRUCT1) (Cell wall invertase 1) (AtcwINV1) (Sucrose hydrolase 1)	CWINV1 BFRUCT1 At3g13790 MMM17.26
C0Z257	C0Z257_ARATH	unreviewed	AT3G13790 protein	At3g13790
Q9FJ21	PME58_ARATH	reviewed	Probable pectinesterase/pectinesterase inhibitor 58 [Includes: Pectinesterase inhibitor 58 (Pectin methylesterase inhibitor 58); Pectinesterase 58 (PE 58) (EC 3.1.1.11) (Pectin methylesterase 58) (AtPME58)]	PME58 ARATH58 At5g49180 K21P3.5
Q9FMN8	Q9FMN8_ARATH	unreviewed	AT5g12260/MXC9_22 (Glycosyltransferase family protein 2) (Transferring glycosyl group transferase)	MXC9.22 AT5G12260.1 MXC9_22 At5g12260
Q6NKW8	Q6NKW8_ARATH	unreviewed	At2g22620	At2g22620
Q9ZQ51	Q9ZQ51_ARATH	unreviewed	Rhamnogalacturonate lyase family protein	At2g22620 T9I22.6 T9I22_6
Q94AV6	Q94AV6_ARATH	unreviewed	AT4g38500/F20M13_60 (Sept9) (Sept9 (DUF616))	AT4G38500.1 At4g38500 F20M13.60 F20M13_60
Q9SZN0	Q9SZN0_ARATH	unreviewed	Uncharacterized protein AT4g38500 (Uncharacterized protein F20M13.60)	F20M13.60 At4g38500
Q8GWB7	GUX6_ARATH	reviewed	Inositol phosphorylceramide glucuronosyltransferase 1 (EC 2.4.1.17) (Glycogenin-like protein 6) (Plant glycogenin-like starch initiation protein 6)	IPUT1 PGSIP6 At5g18480 T28N17.3
Q9LHB9	PER32_ARATH	reviewed	Peroxidase 32 (Atperox P32) (EC 1.11.1.7) (ATP16a) (PRXR3)	PER32 P32 At3g32980 T15D2.7 T15D2.9
B9DHE0	B9DHE0_ARATH	unreviewed	Peroxidase (EC 1.11.1.7)	At3g32980
Q9SMU8	PER34_ARATH	reviewed	Peroxidase 34 (Atperox P34) (EC 1.11.1.7) (ATPCb)	PER34 P34 PRXCB At3g49120 F2K15.3 T2J13.40
P24101	PER33_ARATH	reviewed	Peroxidase 33 (Atperox P33) (EC 1.11.1.7) (ATPCa) (Neutral peroxidase C) (PERC)	PER33 P33 PRXCA At3g49110 F2K15.4 T2J13.50
Q9LDN9	PER37_ARATH	reviewed	Peroxidase 37 (Atperox P37) (EC 1.11.1.7) (ATP38)	PER37 P37 At4g08770 T32A17.80
Q9LDA4	PER38_ARATH	reviewed	Peroxidase 38 (Atperox P38) (EC 1.11.1.7)	PER38 P38 At4g08780 T32A17.90
